name,description,region,imageUrl,brand,specs,category,upc,ean,ean8,id_producto,categoryPath,ingredients
Ortuzar Cerveza Poker 473 Ml,"Descubrí la Cerveza Ortuzar Poker 473 Ml Elegí la Cerveza Ortuzar Poker 473 Ml y llevá tu experiencia cervecera al siguiente nivel. Su sabor fresco y equilibrado es ideal para disfrutar en cualquier ocasión. Porque elegir Cerveza Ortuzar Poker 473 Ml Sabor refrescante que complementa cualquier comida. Perfecta para compartir en reuniones con amigos y familia. Formato de 473 ml, ideal para disfrutar solo o en compañía. Producida con ingredientes de alta calidad para un sabor inconfundible. Transformá tus momentos con esta cerveza excepcional. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",USA or Canada,https://go-upc.s3.amazonaws.com/images/166466467.jpeg,Ortuzar,[],Beer,656750817384.0,656750817384.0,,656750817384,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Cerveza Starberg Lager 500 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/123267325.jpeg,,"[['Size', '50 Cl'], ['Countries', 'France']]",,,3162330450010.0,,3162330450010,,
St. Wendeler Cerveza Rubia 500 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/86921839.jpeg,St. Wendeler,"[['Countries', 'Argentina'], ['Stores', 'Dia']]",Beer,,4002631022679.0,,4002631022679,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Extracto De Lúpulo'}"
St Wendeler Cerveza Alemana 330 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/194438213.jpeg,St Wendeler,"[['Size', '33 Cl'], ['Countries', 'France']]",Beer,,4002631022792.0,,4002631022792,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': ""Eau, Malt D'_orge_, Extrait De Houblon.""}"
St Wendeler Cerveza Negra 500 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/86873765.jpeg,St Wendeler,[],Beer,,4002631024147.0,,4002631024147,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
St Wendeler Cerveza Lager 500 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/125269054.jpeg,St Wendeler,[],Beer,,4002631024161.0,,4002631024161,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
St Wendeler Cerveza Trigo 500 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/125292309.jpeg,St Wendeler,[],Beer,,4002631024192.0,,4002631024192,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Mecklenburger Cerveza Pilsener 500ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/113256109.jpeg,Mecklenburger,[],Beer,,4015042107866.0,,4015042107866,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
"Mecklenburger Пиво Weissbier Светлое 5,1% 0,5л",No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59154248.jpeg,Mecklenburger,"[['Countries', 'Italy']]",Beer,,4015042108818.0,,4015042108818,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Mecklenburger Cerveza Rubia Pilsener 330 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59154242.jpeg,Mecklenburger,[],Beer,,4015042111085.0,,4015042111085,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Mecklenburger Cerveza Negra Premium Dunkel 500 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59153756.jpeg,Mecklenburger,[],Beer,,4015042111214.0,,4015042111214,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Mecklenburger Cerveza IPA 500 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59172768.jpeg,Mecklenburger,[],Beer,,4015042111641.0,,4015042111641,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Beer Bottle 330ml,EN Stella Artois beer is a lager beer from Belgium. It has an accented flavor and a 5% alcohol graduation. Enjoy its improved flavor over the..,Outside of North America,https://go-upc.s3.amazonaws.com/images/38878170.png,Stella Artois,"[['Alcohol %', '4.20%'], ['Size', '330ml'], ['Country of Origin', 'Belguim']]",Beer,,5410228141266.0,,5410228141266,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Water, Barley Malt, Hops, Alcohol'}"
Bear Beer Cerveza Wheat En Lata 500 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/117349243.jpeg,Bear Beer,[],Beer,,5701598035706.0,,5701598035706,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Bear Beer Cerveza Lata -500ml,"Bear Beer Lager es una cerveza premium de color amarillo dorado tenue, caracterizada por su suavidad y un sutil aroma a lúpulo en el final. Con un equilibrio ideal entre aroma y amargor, se elabora utilizando ingredientes de la más alta calidad y un proceso de fermentación pura, lo que la convierte en un éxito reconocido a nivel mundial.",Outside of North America,https://go-upc.s3.amazonaws.com/images/227545939.jpeg,Bear Beer,[],Beer,,5701598036031.0,,5701598036031,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Cerveza Corona 710 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/40395555.jpeg,,[],Beer,,7501064106859.0,,7501064106859,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
