name,description,region,imageUrl,brand,specs,category,upc,ean,ean8,id_producto,categoryPath,ingredients
Andes Origen Cerveza Ipa 1L,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/74526512.jpeg,Andes Origen,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,7792798002757.0,,7792798002757,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Ipa Origen 473 Cc Pack 6 Un,473.0 cc Cerveza Ipa Andes Origen 473 Cc Pack 6 Un - 473.0 cc.,Outside of North America,https://go-upc.s3.amazonaws.com/images/37289603.png,Andes,[],Beer,,7792798002788.0,,7792798002788,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Bohemian Pilsener 473Ml Lata,"Cerveza Patagonia Bohemian Pilsener en Lata de 473ml Descubrí la Patagonia Bohemian Pilsener, una cerveza dorada, versátil y muy fácil de disfrutar. Esta receta ha sido inspirada en el estilo clásico de República Checa, adaptada a nuestros sabores locales. Características Destacadas Cerveza 100% malta, garantizando pureza y calidad en cada sorbo. De bajo amargor, perfecta para quienes prefieren un sabor más suave. Ideal para compartir en reuniones o disfrutar en cualquier ocasión. ¿Por qué elegir la Patagonia Bohemian Pilsener? Porque combina tradición y modernidad en una cerveza que se adapta a diferentes paladares, ofreciendo una experiencia refrescante y placentera. ¡No te la pierdas! Podés comprarla ahora y disfrutar de su sabor en la comodidad de tu hogar. Ingredientes.",Outside of North America,https://go-upc.s3.amazonaws.com/images/117095225.jpeg,Patagonia,"[['Countries', 'Spain']]",Beer,,7792798003563.0,,7792798003563,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Bohemian Pilsener Pack Latas 473 Cc 6 Unidades,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166685988.jpeg,Patagonia,[],Beer,,7792798003594.0,,7792798003594,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Corona Cerveza Rubia 330 Cc,"Corona es una cerveza rubia suave. Presente en más de 180 países y mundialmente conocida por ritual de la lima, es la cerveza mexicana más vendida del mundo desde 1925.",Outside of North America,https://go-upc.s3.amazonaws.com/images/245111099.png,Corona,"[['Size', '330c'], ['Countries', 'Argentina']]",Beer,,7792798003709.0,,7792798003709,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Corona Cerveza Rubia 710 Cc,"Corona es una cerveza rubia suave. Presente en más de 180 países y mundialmente conocida por ritual de la lima, es la cerveza mexicana más vendida del mundo desde 1925.",Outside of North America,https://go-upc.s3.amazonaws.com/images/245111040.png,Corona,"[['Size', '710'], ['Countries', 'Argentina']]",Beer,,7792798003716.0,,7792798003716,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Corona Cerveza Desc 330ml Pack X 6un,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/134022683.jpeg,Corona,[],Beer,,7792798003723.0,,7792798003723,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Vera Ipa 473ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/117025808.jpeg,Patagonia,"[['Size', '473'], ['Countries', 'Spain']]",Beer,,7792798003938.0,,7792798003938,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Vera Ipa 473cc 6un,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166710219.jpeg,Patagonia,[],Beer,,7792798003945.0,,7792798003945,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Brahma Cerveza Lata 473 Cc,"No es de extrañar que Brahma Chopp tenga ese nombre. Tanto ella como Chopp Brahma nacen de la misma fuente, tienen el mismo proceso de fabricación y solo se separan en macetas. Por eso es tan sabroso y refrescante, como la cerveza de barril real.",Outside of North America,https://go-upc.s3.amazonaws.com/images/245111144.png,Brahma,"[['Size', '473 Ml'], ['Countries', 'Argentina']]",Beer,,7792798005888.0,,7792798005888,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Ingredientes: Agua, Malta De Cebada, Cereales Lupulo, En Uruguay, Ingredientes: Gasificante Ins 290'}"
Patagonia Cerveza Amber Lager X 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/74526505.jpeg,Patagonia,"[['Size', '410 Ml'], ['Countries', 'Spain']]",Beer,,7792798005956.0,,7792798005956,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Brahma Pack X6 Cerveza Lata 473 Cc,"Adult signature will be required. This product may be subject to local regulations and restrictions in your country, province or state. If in doubt, please contact us or your local representatives for further information. Beverage taxes may apply. Quantity is limited to 1 pack per order.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166719959.jpeg,Brahma,[],Beer,,7792798005970.0,,7792798005970,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza Bot. 330 Cc,"La cerveza belga número 1 en ventas a nivel mundial. Stella Artois tiene una rica herencia que se remonta al año 1366 en Leuven, Bélgica, y es hoy en día el estándar de oro de la calidad en más de 80 países.",Outside of North America,https://go-upc.s3.amazonaws.com/images/40393127.jpeg,Stella Artois,[],Beer,,7792798006045.0,,7792798006045,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza 975 Cc,"Cerveza rubia premium. Stella Artois tiene una rica herencia que se remonta a 1366 en Leuven, Bélgica, y es hoy en día el estándar de oro de la calidad en más de 80 países.",Outside of North America,https://go-upc.s3.amazonaws.com/images/113161907.jpeg,Stella Artois,[],Beer,,7792798006199.0,,7792798006199,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveja Amber Lager Garrafa 740ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/113230738.jpeg,Patagonia,[],Beer,,7792798007158.0,,7792798007158,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveja Bohemian Pilsener Garrafa 740ml,"Descripción del producto Patagonia Bohemian Pilsener es una cerveza con un proceso de macerado de sus maltas y lúpulo patagónico que originan un color dorado brillante, gran cuerpo , amargor equilibrado y aroma con notas Frutales. Es ideal para acompañar carnes blancas.",Outside of North America,https://go-upc.s3.amazonaws.com/images/113230772.jpeg,Patagonia,[],Beer,,7792798007165.0,,7792798007165,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveja Weisse Garrafa 740ml,A Patagonia Weisse tem cremosidade característica aroma cítrico marcante e cor clara — características tradicionais das cervejas de trigo do tipo Witbier. Notas de laranja limão abacaxi e semente de coentro equilibram perfeitamente esse aroma e o sabor refrescante e pouco adocicado desta cerveja. Experimente com saladas temperadas com limão peixes e frutos do mar para harmonizar com este clássico rótulo argentino.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166113181.png,Patagonia,[],,,7792798007172.0,,7792798007172,,
"Cristal Quilmes Clásica Cerveza Retornable, 1 L","Cerveza dorada y equlibrada. La cerveza de los argentinos por excelencia. Es una típica cerveza lager perfectamente equilibrada, transparente dorada, buen nivel de espuma y sabor. Para hacerla utilizamos sólo ingredientes naturales que crecen en los campos de Argentina.",Outside of North America,https://go-upc.s3.amazonaws.com/images/38175636.png,Cristal,[],Beer,,7792798007387.0,,7792798007387,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Negra Stout 1 L,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166669903.jpeg,Quilmes,"[['Size', '1 L'], ['Countries', 'Argentina']]",Beer,,7792798007400.0,,7792798007400,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Cereales, Lúpulo, Caramelo Iii 150g'}"
Quilmes baj cer Cerveza Bajo Cero,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/213412224.jpeg,Quilmes baj cer,[],Beer,,7792798007424.0,,7792798007424,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Lieber Cerveza 1L Retornable S/Alcohol,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/213795964.jpeg,Quilmes Lieber,[],Beer,,7792798007431.0,,7792798007431,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Brahma Cerveza Chopp Rubia 1lt Retornable,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/113247764.jpeg,Brahma,"[['Countries', 'Argentina']]",Beer,,7792798007493.0,,7792798007493,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Cereales Adjuntos, Lupulo.'}"
1890 Cerveza Rubia X 1 L,"Cerveza rubia, de color dorado, cuerpo y delicioso sabor intenso. Utiliza en su receta una combinación especial de variedades de malta, que dan como resultado una típica Bavarian Pilsener Lager.",Outside of North America,https://go-upc.s3.amazonaws.com/images/59144919.jpeg,1890,"[['Countries', 'Spain']]",Beer,,7792798007738.0,,7792798007738,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza Noire Negra 975 Cc,"Cerveza negra premium, de espuma cremosa y color negro intenso. Esta cerveza presenta el característico aroma a lúpulo de una Stella Artois con el agregado de sus notas caramelo. Equilibrada, de cuerpo justo y amargor balanceado.",Outside of North America,https://go-upc.s3.amazonaws.com/images/59145408.jpeg,Stella Artois,[],Beer,,7792798007844.0,,7792798007844,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Temple Cerveza Wolf Ipa 473Ml Lata,"Quando um lobo uiva, é porque está pedindo uma Wolf IPA. Com perfil bem americano, é uma IPA que você não vai conseguir parar de beber. Cítrica e frutada consequência do dry hopping com lúpulo Mosaic, possui um tremendo equilíbrio entre aroma, sabor, amargor e drinkability.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166685806.jpeg,Temple,"[['Size', '473 Cm3'], ['Countries', 'Argentina'], ['Stores', 'Kiosko']]",Beer,,7792798008858.0,,7792798008858,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada (malta Munich, Malta Special W, Malta Pilsner) Y Lúpulo (herkules, Cascade, Mosaic)'}"
Temple Cerveza Honey 473Ml Lata,"DESCRIÇÃO Apresentamos-lhe a nova Temple Honey Beer, uma cerveja à base de mel orgânico, perfeitamente equilibrada e refrescante, com uma cor dourada e um aroma de malte e cítricos. De corpo médio, e doçura no ponto certo, um casamento perfeito, essa cerveja vai fazer seu paladar conhecer a felicidade. E o que dizer dessa belezura? Provavelmente o estilo de cerveja mais popular da atualidade, nossa cerveja Honey veio para conquistar corações. Com a nossa (quase) obsessão pela sustentabilidade, utilizamos o mel orgânico que vem diretamente do Delta do Rio Paraná, na Argentina, e o adicionamos na fase de maturação, evitando que se transforme em álcool, destacando o aroma e o sabor. É orgânico, é mel.",Outside of North America,https://go-upc.s3.amazonaws.com/images/74526613.jpeg,Temple,"[['Countries', 'Spain']]",Beer,,7792798008865.0,,7792798008865,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Temple Wolf Ipa X Pack,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166686439.jpeg,Temple,[],Beer,,7792798008889.0,,7792798008889,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Temple Honey Pack X 6u,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59166800.jpeg,Temple,[],Beer,,7792798008896.0,,7792798008896,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Sin Alcohol Lata 473Ml,"Así es la nueva Cerveza Quilmes 0.0%, una cerveza Rubia elaborada con ingredientes naturales y nada de alcohol. Disfruta de todo el sabor de Quilmes en su versión 0.0% alcohol.",Outside of North America,https://go-upc.s3.amazonaws.com/images/125374663.jpeg,Quilmes,"[['Size', '473 Cm3'], ['Countries', 'Argentina'], ['Stores', 'Carrefour']]",Beer,,7792798009107.0,,7792798009107,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Maíz, Lúpulo'}"
Quilmes Six Pack Cerveza Sin Alcohol X6 Unid,"Descubrí el Pack de Cerveza Quilmes 0.0% y disfrutá sin alcohol Elegí este pack de 6 latas y dejate llevar por la frescura de la Quilmes 0.0%. Perfecta para aquellos momentos en los que querés disfrutar de una cerveza sin preocuparte por el alcohol. Características Destacadas (Cerveza Quilmes 0.0% Lata 473mlx6) Fresca y de cuerpo liviano, ideal para cualquier ocasión. Cerveza rubia elaborada con ingredientes naturales. Sin alcohol, perfecta para disfrutar sin límites. Presentación en lata de 473ml, fácil de llevar a cualquier lugar. Producida por Cervecería y Maltería Quilmes, una marca de confianza. Por qué nos gusta (Cerveza Quilmes 0.0% Lata 473mlx6) Su sabor refrescante y ligero la convierte en una opción ideal para disfrutar en cualquier momento. Cada lata es una invitación a compartir buenos momentos con amigos. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",Outside of North America,https://go-upc.s3.amazonaws.com/images/220430954.webp,Quilmes,[],Beer,,7792798009114.0,,7792798009114,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza Noire X 473 Lata,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/117162981.jpeg,Stella Artois,[],Beer,,7792798009312.0,,7792798009312,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Temple Cerveza Scottish Lager Pack Latas 473 Cc 6 Unidades,"Cerveza Artesanal Scottish, una combinación de maltas especiales que le dan un perfil tostado y acaramelado. Una cerveza roja con todas sus letras.",Outside of North America,https://go-upc.s3.amazonaws.com/images/59166785.jpeg,Temple,[],Beer,,7792798009343.0,,7792798009343,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Temple Cerveza Scottish X 473 Cc,"Cerveza Artesanal Scottish, una combinación de maltas especiales que le dan un perfil tostado y acaramelado. Una cerveza roja con todas sus letras.",Outside of North America,https://go-upc.s3.amazonaws.com/images/74526583.jpeg,Temple,"[['Size', '473cc'], ['Countries', 'Spain']]",Beer,,7792798009350.0,,7792798009350,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Noire X Pack,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/117163014.jpeg,Stella Artois,[],Beer,,7792798009428.0,,7792798009428,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza 975 Cc,"Stella Artois es una cerveza Pale Lager, rubia de sabor amargo y fresco, superior al de otras lagers, que la convierten en el acompañamiento ideal de una gran variedad de platos salados.",Outside of North America,https://go-upc.s3.amazonaws.com/images/193857855.jpeg,Stella Artois,[],Beer,,7792798010561.0,,7792798010561,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza 330Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/115515083.jpeg,Stella Artois,"[['Size', '330 Ml'], ['Countries', 'Spain']]",Beer,,7792798010578.0,,7792798010578,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Pack X6 Cerveza Lata 473 Cc,"Stella Artois es una cerveza muy equilibrada de un color dorado brillante. En esta cerveza predominan moderadas notas a frutas blancas y de cereal que resaltan levemente sobre el aroma herbal del lúpulo Saaz. En boca presenta una sensación suave, ligera de amargo y con efecto refrescante. La Stella Artois es ideal para acompañar quesos, pastas y carnes con salas de cítricos o ensaladas afrutadas.",Outside of North America,https://go-upc.s3.amazonaws.com/images/122673616.jpeg,Stella Artois,[],Beer,,7792798010592.0,,7792798010592,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza Lata 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/151851834.jpeg,Stella Artois,"[['Size', '473'], ['Countries', 'Spain']]",Beer,,7792798010615.0,,7792798010615,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza Noire Lata 473Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/206894952.jpeg,Stella Artois,"[['Countries', 'Spain']]",Beer,,7792798010639.0,,7792798010639,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Pack Cerveza Stella Artois Lata X 6,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/207401949.jpeg,,[],Ice Packs,,7792798010684.0,,7792798010684,"['Health & Beauty', 'Health Care', 'First Aid', 'Hot & Cold Therapies', 'Ice Packs']",
Stella Artois Cerveza Negra Noire Lata 473 Cc. 6 Uni,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166688960.jpeg,Stella Artois,[],Beer,,7792798010745.0,,7792798010745,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella art noir Cerveza Negra Noire Artois 975 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/207400139.jpeg,Stella art noir,[],Beer,,7792798010776.0,,7792798010776,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Vera Ipa X 730 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166714370.jpeg,Patagonia,"[['Size', '730'], ['Countries', 'Spain']]",Beer,,7792798010882.0,,7792798010882,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Rubia Cristal 340 Cc,"Descripción del producto Cerveza lager argentina, elaborada con ingredientes nacionales. Con equilibrio entre el suave amargor del lúpulo y el sabor del cereal.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166686458.jpeg,Quilmes,[],Beer,,7792798011087.0,,7792798011087,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Eazy 27 Cerveza Lat 473 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59205855.jpeg,Eazy 27,"[['Size', '473cc'], ['Countries', 'Spain']]",Beer,,7792798011094.0,,7792798011094,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
27 Eazy Cerveza Lata 473 Ml X 6 Un,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166688932.jpeg,27 Eazy,[],Beer,,7792798011100.0,,7792798011100,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Cerveza Budweiser Glow 1x355ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/214669649.jpeg,,[],Beer,,7792798011179.0,,7792798011179,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Ipa Roja Origen 6 Uni 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/59171093.jpeg,Andes,[],Beer,,7792798011261.0,,7792798011261,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Brahma Cerveza Dorada Lata 473mlx1,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166686223.jpeg,Brahma,"[['Size', '473'], ['Countries', 'Spain']]",Beer,,7792798011421.0,,7792798011421,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Brahma Cerveza Dorada 473 Cc Six Pack,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166448062.jpeg,Brahma,[],Beer,,7792798011438.0,,7792798011438,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Doble Malta 473ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166480249.jpeg,Quilmes,"[['Size', '473'], ['Countries', 'Spain']]",Beer,,7792798011520.0,,7792798011520,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Doble Malta 473 Ml X 6 Un,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/125342294.jpeg,Quilmes,[],Beer,,7792798011568.0,,7792798011568,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Corona Cerveza En Lata 410 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/244617144.jpeg,Corona,"[['Countries', 'Spain']]",Beer,,7792798012435.0,,7792798012435,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Corona Pack X 410 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/244617106.jpeg,Corona,[],Beer,,7792798012527.0,,7792798012527,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Brahma Chopp Cerveza 473Ml Lata,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/34316322.jpeg,Brahma Chopp,[],,,7792798012565.0,,7792798012565,,
Andes Cerveza Fresquita Origen 473 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/206896381.jpeg,Andes,"[['Size', '473'], ['Countries', 'Spain']]",Beer,,7792798012572.0,,7792798012572,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Cerveza Fresquita Origen X4 Uni 1892 Ml,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166728112.jpeg,Andes,[],Beer,,7792798012589.0,,7792798012589,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Cerveza Blanche Retornable 975 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/74532068.jpeg,Stella Artois,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,7792798012671.0,,7792798012671,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Cerveza Artois Blanche Lata 473cc,"Refrescá tus Días con la Cerveza Stella Artois Blanche en Lata Disfrutá de la Stella Artois Blanche, una cerveza que combina frescura y carácter en cada sorbo. Ideal para esos momentos de relax, su suavidad y sabor intenso la convierten en la compañera perfecta para cualquier ocasión. Características Destacadas (Cerveza Stella Artois Blanche Lata 473mlx1) White Lager refrescante: notas cítricas que revitalizan el paladar. Amargor ligero: una opción ideal para quienes prefieren suavidad. Aroma atractivo: gracias al lúpulo Mandarina Bavaria. Envase práctico: lata que se adapta a tu estilo de vida. Contenido ideal: 473ml de pura frescura cervecera. Por qué nos gusta (Cerveza Stella Artois Blanche Lata 473mlx1) Cada lata te ofrece la oportunidad de disfrutar momentos especiales con un toque de sabor único. Con Stella Artois Blanche, cada encuentro se convierte en una celebración. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes. Agua, malta de cebada, malta de trigo, lúpulo, semillas de coriandro, cebada, trigo.",Outside of North America,https://go-upc.s3.amazonaws.com/images/82084388.png,Stella,"[['Size', '473'], ['Countries', 'Spain']]",Beer,,7792798012701.0,,7792798012701,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Stella Artois Pack Blanche X 6,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166728761.jpeg,Stella Artois,[],Beer,,7792798012725.0,,7792798012725,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Andes Origen Mendocina Cerveza Fresquita 1 Lt,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/74532115.jpeg,Andes Origen Mendocina,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,7792798012879.0,,7792798012879,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Cristal Lata X 473 Cc,"Características Descripción del producto Producto con venta restringida, solo para mayores de 18 años. Cerveza Quilmes Lata 473Ml Mostrar más.",Outside of North America,https://go-upc.s3.amazonaws.com/images/37289651.png,Quilmes,"[['Size', '473 Cm3'], ['Countries', 'Argentina,bolivia']]",Beer,,7792798012923.0,,7792798012923,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']","{'text': 'Agua, Malta De Cebada, Maíz, Lúpulo.'}"
Quilmes Pack X6 Cerveza Lata 473 Cc,"Adult signature will be required. This product may be subject to local regulations and restrictions in your country, province or state. If in doubt, please contact us or your local representatives for further information. Beverage taxes may apply. Quantity is limited to 1 pack per order.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166714650.jpeg,Quilmes,[],Beer,,7792798012947.0,,7792798012947,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Patagonia Cerveza Amber Lager 1 Lt Retornable,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/220430721.webp,Patagonia,[],Beer,,7792798012961.0,,7792798012961,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Budweiser Cerveza Lata 710 Cc,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/117541180.jpeg,Budweiser,"[['Size', '710'], ['Countries', 'Spain']]",Beer,,7792798013357.0,,7792798013357,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Cerveza Ipa 473 Cc,"Probá la Cerveza Quilmes IPA y disfrutá de su carácter intenso Elegí esta lata de 473ml y dejate llevar por la intensidad de esta IPA. Ideal para acompañar tus momentos más especiales, cada sorbo es una celebración de sabor y calidad. Características Destacadas (Cerveza Quilmes IPA Lata 473mlx1) Intensidad y carácter que la hacen única. Perfecta para disfrutar en cualquier ocasión. Elaborada por Cervecería y Maltería Quilmes, una marca de confianza. Presentación en lata de 473ml, fácil de llevar a donde quieras. Ideal para acompañar comidas o simplemente relajarte. Por qué nos gusta (Cerveza Quilmes IPA Lata 473mlx1) Su sabor intenso es perfecto para quienes buscan una experiencia cervecera memorable. Cada lata es una invitación a disfrutar de buenos momentos con amigos. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes.",Outside of North America,https://go-upc.s3.amazonaws.com/images/166480233.jpeg,Quilmes,"[['Countries', 'Spain']]",Beer,,7792798013388.0,,7792798013388,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Quilmes Pack Ipa X 6,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166480277.jpeg,Quilmes,[],Beer,,7792798013395.0,,7792798013395,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Temple Cerveza Indie Golden Lata 473mlx1,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/117527556.jpeg,Temple,"[['Countries', 'Spain']]",Beer,,7792798013418.0,,7792798013418,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
Temple Cerveza Indie Golden 473 Ml X 6 Un,No description found.,Outside of North America,https://go-upc.s3.amazonaws.com/images/166490692.jpeg,Temple,[],Beer,,7792798013425.0,,7792798013425,"['Food, Beverages & Tobacco', 'Beverages', 'Alcoholic Beverages', 'Beer']",
